decade,score,halfcentury,year,number,author,title,generic subtitle,subtitle1,subtitle2,nouvelle,source,exclusion,words,mode,temporality I,temporality II,characters (RW),truth(RW),truth place,person,1st person type,inset,1st-person insets?,titled insets?,# 1P insets,pages 1P insets,# 3P insets,pages 3P insets,pages total,segmentation,numb. Segs.,(1) authorial,(2) sententious,(3) character description,(4) location/period description,(5) Action,(5s) speech type,order 1,count
1620s,1621-1640,1601-1650,1629,4a,Camus,Clarque,0,unsubtitled,unsubtitled,0,Googlebooks,0,21,rw,uns,,nobodies,fact,pref,3,,0,,,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1629,4b,Camus,Timolas,0,unsubtitled,unsubtitled,0,Googlebooks,0,11,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1629,6,[Conti],Les Advantures de la cour de Perse,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,59,rw,his,modern,nobodies,transposed,pref,3,,i5,n,y,,,,,,journes,7,,,,,,,,1
1620s,1621-1640,1601-1650,1629,7bis,Gomberville,L'Exil de Polexandre,0,unsubtitled,unsubtitled,0,Gallica,0,111,rw,his,modern,nobodies,ind,,3,,i1,y,y,3,270,3,377,926,,,,,,,,,,1
1620s,1621-1640,1601-1650,1629,8,Humbert,Histoire de la Cour sous les noms de Clomdonte et de Hermilinde,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,74,rw,uns,,nobodies,transposed,"pref, title",3,,i3,y,n,,,,,,livres,8,,,,,,,,1
1620s,1621-1640,1601-1650,1629,10,Marande,Abrg de l'histoire d'Ariades,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,24,rw,his,vague,nobodies,fict,other (fake kings),3,,i4,y,n,,,,,,0,,,,,,,,,1
1620s,1621-1640,1601-1650,1629,12,Saincte-Suzanne,L'Ariste,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,44,rw,uns,,keyed nobodies,keyed,title,3,,i1,y,y,3,157,1,26,320,0,,,,,,,,,1
1620s,1621-1640,1601-1650,1629,13,Turpin,Lysigeraste ou les desdains de Lyside,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,69,rw,uns,,nobodies,transposed,title,3,,i6,n,y,,,,,,livres,3,,,,,,,,1
1620s,1621-1640,1601-1650,1630,8,Du Broquart,La Bellaure triomphante,0,unsubtitled,unsubtitled,0,Googlebooks,0,217,rw,uns,,keyed nobodies,keyed,title,3,,i1,y,y,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1630,10,Du Verdier,Le roman des dames,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,192,rw,his,vague,nobodies,fict,other (fake kings),3,,i4,y,n,,,,,,chaps d,31,,,,,,,,1
1620s,1621-1640,1601-1650,1630,11,Merille,La Philomne,0,unsubtitled,unsubtitled,0,,0,41,rw,con,,nobodies,fact,pref,3,,i4,y,y,,,,,,livres,5,,,,,,,,1
1620s,1621-1640,1601-1650,1630,12,Puget de la serre,La Clythie ou roman de la cour,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,219,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,livres,9,,,,,,,,1
1630s,1621-1640,1601-1650,1631,1,Alais,La Solitude amoureuse ,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,55,rw,uns,,nobodies,ind,,3,,i1,y,n,,,,,,livres,3,,,,,,,,1
1630s,1621-1640,1601-1650,1631,2,Baudoin,Histoire ngre-pontique,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,55,rw,his,modern,somebodies,,,3,,i1,y,n,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1631,8,Humbert,Les triomphes de la guerre et de l'amour,0,unsubtitled,unsubtitled,0,Gallica,0,105,rw,uns,,nobodies,ind,,3,,i1,y,n,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1631,10,viard,Le Dorisandre,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,21,rw,uns,,nobodies,transposed,pref,3,,i2,n,y,,,,,,0,,,,,,,,,1
1630s,1621-1640,1601-1650,1631,10a,viard,"Hist de Floriman, de Cllie, et de Climne",0,unsubtitled,unsubtitled,0,,0,14,rw,uns,,nobodies,ind,,3,,i2,y,n,,,,,,0,,,,,,,,,1
1630s,1621-1640,1601-1650,1632,4,Desmarets,Ariane,0,unsubtitled,unsubtitled,0,Googlebooks,0,216,rw,his,classical,combo,,,3,,i1,y,y,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1632,5,Du Verdier,Le chevalier hypocondriaque,0,unsubtitled,unsubtitled,0,Gallica,0,96,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1632,6,Du Verdier,La Sibile de perse,0,unsubtitled,unsubtitled,0,googlebooks,0,66,rw,uns,,nobodies,ind,,1,narr,i1,n,y,,,,,,chaps,9,,,,,,,,1
1630s,1621-1640,1601-1650,1632,9,Logeas,Le roman hroique,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,337,rw,uns,,nobodies,transposed,"title, pref",3,,i4,y,y,,,,,,chaps d,23,,,,,,,,1
1630s,1621-1640,1601-1650,1632,10,Gomberville ,Polexandre ,0,unsubtitled,unsubtitled,0,Googlebooks,0,285,rw,his,gallia,somebodies,,,3,,i1,y,y,,,,,,livres,10,,,,,,,,1
1630s,1621-1640,1601-1650,1633,4,Claros,Le Cloriarque d'Ilis,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,92,rw,con,,nobodies,fict,pref,3,,0,,,,,,,,livres,8,,,,,,,,1
1630s,1621-1640,1601-1650,1633,5,Du Bail,Floridor et Dorise,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,73,rw,uns,,keyed nobodies,keyed,"title, key",3,,0,,,,,,,,livres,4,,,,,,,,1
1630s,1621-1640,1601-1650,1633,8,La Haye,La nouvelle Amarante,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,62,rw,uns,,nobodies,keyed,key,3,,i2,n,y,,,,,,chaps d,57,,,,,,,,1
1630s,1621-1640,1601-1650,1634,2,Brethencourt,Le Plerin tranger,0,unsubtitled,unsubtitled,0,,0,44,rw,uns,,nobodies,ind,,3,,0,,,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1634,7,Gerzan,"Histoire asiatique de Crinthe, de Calianthe, et d'Artnice",0,unsubtitled,unsubtitled,0,Googlebooks,0,71,rw,his,classical,combo,,,3,,i1,y,y,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1634,8,Gougenot,Le romant de l'infidle Lucrine,0,unsubtitled,unsubtitled,0,Gallica,0,107,rw,con,,nobodies,fact,pref,3,,i1,y,y,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1634,9,Hotman,Histoire celtique,0,unsubtitled,unsubtitled,0,,0,148,rw,his,gallia,nobodies,transposed,title,3,,i1,y,n,,,,,,livres,5,,,,,,,,1
1630s,1621-1640,1601-1650,1635,1,An,Les amours de Dorimon et de Clie,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,22,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,1
1630s,1621-1640,1601-1650,1635,3,An,Les Avantures de Mlindor et d'Amasie,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,67,rw,uns,,nobodies,ind,,3,,i1,y,n,,,,,,livres,6,,,,,,,,1
1630s,1621-1640,1601-1650,1635,7,Beauregard,Le Prince amoureux,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,39,rw,uns,,nobodies,ind,,3,,i1,y,y,,,,,,livres,5,,,,,,,,1
1630s,1621-1640,1601-1650,1635,9,Claireville,L'Amelinte,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,104,rw,uns,,nobodies,fict,pref,3,,i1,y,n,,,,,,livres,10,,,,,,,,1
1630s,1621-1640,1601-1650,1635,10,Du Bail,L'Olympe,0,unsubtitled,unsubtitled,0,googlebooks,0,84,rw,his,vague,nobodies,transposed,pref,3,,i1,y,y,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1635,11,Humbert,Les Fortunes diverses de Chrysomire et de Kalinde,0,unsubtitled,unsubtitled,0,,0,112,rw,uns,,keyed nobodies,keyed,title,3,,i2,n,n,,,,,,livres,10,,,,,,,,1
1630s,1621-1640,1601-1650,1635,13,Molire,La Karismne agite,0,unsubtitled,unsubtitled,0,Googlebooks,0,53,rw,uns,,nobodies,fict,pref,3,,0,,,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1637,2,Du Bail,La Cfalie,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,101,rw,uns,,keyed nobodies,keyed,key,3,,i1,y,y,7,217,1,52,787,livres,4,,,,,,,,1
1630s,1621-1640,1601-1650,1637,3,Du Bail,Les Courtisans gnreux,0,unsubtitled,unsubtitled,0,Googlebooks,0,90,rw,con,,nobodies,ind,,3,,i4,y,y,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1637,3bis,Gomberville,Le Polexandre,0,unsubtitled,unsubtitled,0,Gallica,0,518,rw,his,modern,nobodies,ind,,3,,i1,y,y,22,955,15,1451,4278,,,,,,,,,,1
1630s,1621-1640,1601-1650,1637,4,Mosny des Ursins,Le Roman de Mlusine,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,44,rw,his,classical,somebodies,,,1,frame,i3,n,n,,,,,,livres,2,,,,,,,,1
1630s,1621-1640,1601-1650,1638,4,Ceriziers,L'Inceste innocent,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,57,rw,uns,,keyed nobodies,keyed,"key, title",3,,i1,y,y,5,416,0,0,475,,,,,,,,,,1
1630s,1621-1640,1601-1650,1638,5,Du Bail,Le Slisandre,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,74,rw,con,,keyed nobodies,keyed,key,3,,i1,y,n,5,146,2,50,608,livres,4,,,,,,,,1
1630s,1621-1640,1601-1650,1638,6,Le Maire,La Prazimne,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,281,rw,his,classical,combo,,,3,,i1,y,y,9,2044,0,0,2659,livres,7,,,,,,,,1
1630s,1621-1640,1601-1650,1638,7,Morais,Les Amantes infidelles trompes,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,17,rw,uns,,nobodies,ind,,3,,0,,,,,,,,livres,1,,,,,,,,1
1630s,1621-1640,1601-1650,1639,1,Anon.,Les Heureuses avantures de Darilis,0,unsubtitled,unsubtitled,0,Googlebooks,0,38,rw,his,vague,nobodies,fict,other (fake kings),3,,i1,y,y,4,93,0,0,303,,,,,,,,,,1
1640s,1641-1660,1601-1650,1641,2,Scudry,Ibrahim,0,unsubtitled,unsubtitled,0,Googlebooks,0,387,rw,his,modern,combo,,,3,,i1,y,y,,,,,,livres,20,,,,,,,,1
1640s,1641-1660,1601-1650,1642,4,Du Bail,Fameux Chinois,0,unsubtitled,unsubtitled,0,,0,63,rw,uns,,keyed nobodies,keyed,key,3,,i1,y,y,,,,,,livres,4,,,,,,,,1
1640s,1641-1660,1601-1650,1642,5,Du Broquard,Jugement d'Archidiane,0,unsubtitled,unsubtitled,0,,0,36,rw,uns,,nobodies,ind,,3,,i1,n,n,,,,,,livres,3,,,,,,,,1
1640s,1641-1660,1601-1650,1642,7,La Calprende,Cassandre,0,unsubtitled,unsubtitled,0,Gallica,0,692,rw,his,classical,combo,,,3,,i1,y,y,,,,,,livres,30,,,,,,,,1
1640s,1641-1660,1601-1650,1642,8,Moreaux,Pristandre,0,unsubtitled,unsubtitled,0,,0,116,rw,his,classical,nobodies,ind,,3,,i1,y,y,,,,,,livres,6,,,,,,,,1
1640s,1641-1660,1601-1650,1642,9,Sorel,Maison des jeux,0,unsubtitled,unsubtitled,0,Gallica,0,136,rw,con,,nobodies,ind,,3,,i5,y,y,,,,,,livres,9,,,,,,,,1
1640s,1641-1660,1601-1650,1642,10,Tristan l'Hermite,Page disgraci,0,unsubtitled,unsubtitled,0,Googlebooks,0,86,rw,con,,somebodies,,,1,mem,0,,,,,,,,chaps d,45,,,,,,,,1
1640s,1641-1660,1601-1650,1643,2,An,L'Illustre Rosimante,0,unsubtitled,unsubtitled,0,Gallica,0,55,rw,his,classical,keyed nobodies,keyed,pref,3,,i2,y,y,,,,,,livres,5,,,,,,,,1
1640s,1641-1660,1601-1650,1643,6,Du Bail,Les Filles enleves,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,126,rw,con,,nobodies,ind,,3,,i1,y,y,,,,,,,,,,,,,,,1
1640s,1641-1660,1601-1650,1643,7,Du Verdier,Fuite de Rozalinde,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,82,rw,uns,,nobodies,fict,pref,3,,i1,y,y,,,,,,chaps d,20,,,,,,,,1
1640s,1641-1660,1601-1650,1644,3,An,Les Illustres malheureux,0,unsubtitled,unsubtitled,0,BNF Tolbiac,0,13,rw,his,biblical,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1640s,1641-1660,1601-1650,1644,7,Chevreau,Scanderberg,0,unsubtitled,unsubtitled,0,,0,120,rw,his,modern,combo,,,3,,i1,y,y,,,,,,livres,8,,,,,,,,1
1640s,1641-1660,1601-1650,1644,9,Du Bail,Les Galanteries de la cour,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,96,rw,con,,nobodies,ind,,3,,i1,y,y,,,,,,livres,4,,,,,,,,1
1640s,1641-1660,1601-1650,1644,12,Guerin de Bouscal,L'Antiope,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,192,rw,his,myth,somebodies,,,3,,i1,y,y,,,,,,livres,20,,,,,,,,1
1640s,1641-1660,1601-1650,1645,2,Bonnet,Branger comte de La Marck,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,305,rw,his,modern,nobodies,ind,,3,,i1,y,y,,,,,,livres,12,,,,,,,,1
1640s,1641-1660,1601-1650,1645,3,Crisiers,L'Illustre Amalazonthe,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,102,rw,his,classical,keyed nobodies,keyed,"key, pref",3,,i1,y,y,,,,,,livres,7,,,,,,,,1
1640s,1641-1660,1601-1650,1645,4,Du Broquart,La Fidlit trahie,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,68,rw,uns,,nobodies,transposed,pref,3,,i1,y,y,,,,,,livres,6,,,,,,,,1
1640s,1641-1660,1601-1650,1645,5,Juvenel,Dom Plage ou l'entre des maures en Espagne,0,unsubtitled,unsubtitled,0,Googlebooks,0,146,rw,his,modern,somebodies,,,3,,i1,y,y,,,,,,,,,,,,,,,1
1640s,1641-1660,1601-1650,1645,8,Nerveze,La Nouvelle Armide,0,unsubtitled,unsubtitled,0,Mazarine,0,10,rw,his,literary,somebodies,,,3,,i4,y,y,,,,,,0,,,,,,,,,1
1640s,1641-1660,1601-1650,1645,9,Pique,Florinie ou l'illustre veuve perscute,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,168,rw,uns,,keyed nobodies,keyed,"key, pref, title",3,,i1,y,y,,,,,,livres,10,,,,,,,,1
1640s,1641-1660,1601-1650,1647,1,Anon.,Axiane,0,unsubtitled,unsubtitled,0,Googlebooks,0,123,rw,his,classical,combo,,,3,,i1,y,y,5,377,4,468,1299,,,,,,,,,,1
1640s,1641-1660,1601-1650,1647,3,Astorgue,L'Alcide,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,162,rw,his,classical,somebodies,,,3,,i1,y,y,5,939,3,300,1438,,,,,,,,,,1
1640s,1641-1660,1601-1650,1647,4,Du Broquard,Florignie ou l'illustre victorieuse,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,52,rw,his,vague,nobodies,transposed,pref,3,,i2,y,n,1,104,1,298,534,,,,,,,,,,1
1640s,1641-1660,1601-1650,1647,5,La Calprenede,Le Toldan,0,unsubtitled,unsubtitled,0,Gallica,0,295,rw,his,modern,combo,,,3,,i1,n,n,8,1302,8,1271,3114,,,,,,,,,,1
1640s,1641-1660,1601-1650,1647,6,Lansire,La Diane desguise,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,37,rw,uns,,nobodies,transposed,pref,3,,0,,,,,,,,livres,1,,,,,,,,1
1640s,1641-1660,1601-1650,1648,2,Balzac,Le Barbon,0,unsubtitled,unsubtitled,0,Googlebooks,0,11,rw,con,,nobodies,fict,pref,3,,0,,,,,,,,,,,,,,,,,1
1640s,1641-1660,1601-1650,1648,4,Chevreau,Hermiogne,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,143,rw,his,classical,combo,,,3,,i1,y,y,2,162,3,646,1257,livres,6,,,,,,,,1
1640s,1641-1660,1601-1650,1648,5,Desmarets de Saint-Sorlin,La Vrit des fables,0,unsubtitled,unsubtitled,0,Googlebooks,0,180,rw,his,myth,somebodies,,,3,,i4,y,y,,,,,,,,,,,,,,,1
1640s,1641-1660,1601-1650,1648,6,Levayer de Boutigny,Mitridate,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,200,rw,his,classical,somebodies,,,3,,i1,y,y,2,241,6,1280,1959,livres,12,,,,,,,,1
1640s,1641-1660,1601-1650,1648,7,Segrais,Brnice,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,263,rw,his,classical,somebodies,,,3,,i1,y,y,7,2007,0,0,2457,,,,,,,,,,1
1640s,1641-1660,1601-1650,1649,2,Scudry,Artamne ou le grand Cyrus,0,unsubtitled,unsubtitled,0,Reprint,0,1945,rw,his,classical,somebodies,,,3,,i1,y,y,7,592,26,4826,7479,,,,,,,,,,1
1650s,1641-1660,1651-1700,1651,2,Conti,Histoire des amours du grand Alcandre,0,unsubtitled,unsubtitled,0,,0,13,rw,con,,keyed nobodies,keyed,"key, pref, title",3,,0,,,,,,,,0,,,,,,,,,1
1650s,1641-1660,1651-1700,1651,3,Gomberville,La jeune Alcidiane,0,unsubtitled,unsubtitled,0,Googlebooks,0,107,rw,his,modern,nobodies,ind,,3,,i1,y,y,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1651,5,Scarron,Le roman comique,0,unsubtitled,unsubtitled,0,,0,105,rw,con,,nobodies,ind,,3,,i1,y,n,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1651,6,Someire,L'amour innocent,0,unsubtitled,unsubtitled,0,Googlebooks,0,97,rw,his,gallia,nobodies,ind,,3,,i1,y,y,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1654,2,An,Clorinde,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,190,rw,his,classical,combo,,,3,,i1,y,y,,,,,,livres,8,,,,,,,,1
1650s,1641-1660,1651-1700,1655,3,Priezac,Olynthie,0,unsubtitled,unsubtitled,0,Googlebooks,0,82,rw,his,vague,nobodies,fict,other (fake kings),3,,i1,y,y,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1657,3,Du Verdier,Rozemire ou l'Europe dlivre,0,unsubtitled,unsubtitled,0,googlebooks,0,100,rw,his,modern,combo,,,3,,i2,n,y,0,0,1,614,798,,,,,,,,,,1
1650s,1641-1660,1651-1700,1657,5,Segrais,Les Nouvelles franoises ou les divertissements de la princesse d'Aurlie,0,unsubtitled,unsubtitled,0,Googlebooks,0,119,rw,con,,keyed nobodies,keyed,"key, pref",1,frame,i5,n,y,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1658,5,Marce,Clobuline ou la veuve inconnu,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,72,rw,his,vague,nobodies,fict,pref,3,,i1,y,y,2,302,1,164,702,livres,3,,,,,,,,1
1660s,1661-1680,1651-1700,1661,8,La Calprende,Faramond ou l'histoire de France,0,unsubtitled,unsubtitled,0,,0,1060,rw,his,gallia,somebodies,,,3,,i1,y,y,,,,,,livres,48,,,,,,,,1
1660s,1661-1680,1651-1700,1661,9,La Calprende,Les Nouvelles ou les divertissements de la princesse Alcidiane,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,63,rw,con,,keyed nobodies,keyed,pref,3,,i5,y,y,,,,,,0,,,,,,,,,1
1660s,1661-1680,1651-1700,1661,15,Villedieu,Alcidamie,0,unsubtitled,unsubtitled,0,Googlebooks,0,92,rw,his,modern,nobodies,ind,,3,,i1,y,y,,,,,,livres,4,,,,,,,,1
1660s,1661-1680,1651-1700,1662,8,Norsegue,Histoire de Cusihuarca princesse du Prou,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,58,rw,his,modern,nobodies,ind,,3,,i1,y,y,,,,,,chaps d,8,,,,,,,,1
1660s,1661-1680,1651-1700,1662,9,Sorel,Relation de ce qui s'est pass dans la nouvelle dcouverte du royaume de Frisquemore,0,unsubtitled,unsubtitled,0,Googlebooks,0,12,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1662,10,Valcroissant,L'usage du beau monde ou l'agrable socit,0,unsubtitled,unsubtitled,0,Googlebooks,0,43,rw,con,,nobodies,fact,pref,3,,i2,n,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1664,1,AN,L'Amour amant,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,21,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,1
1660s,1661-1680,1651-1700,1664,8,Prchac,Histoire du comte de Genevois et de Mlle d'Anjou,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,10,rw,his,modern,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1660s,1661-1680,1651-1700,1665,3,Alluis?,L'Ecole d'amour ou les heros docteurs,0,unsubtitled,unsubtitled,0,Googlebooks,0,43,rw,uns,,nobodies,fict,pref,3,,i1,y,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1665,10,Le Rou,Histoire de Climaure et de Flismene,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,111,rw,his,modern,nobodies,ind,,3,,i4,y,y,,,,,,livres,8,,,,,,,,1
1660s,1661-1680,1651-1700,1665,11,Le Vayer de Boutigny,Tarsis et Zlie,0,unsubtitled,unsubtitled,0,Googlebooks,0,520,rw,his,classical,nobodies,ind,,3,,i1,y,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,5,Aubignac,Le Roman des lettres,0,unsubtitled,unsubtitled,0,Gallica,0,75,rw,con,,keyed nobodies,keyed,pref,3,,0,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,6,Bussy-Rabutin et de Courtilz,Histoire du Palais Royal,0,unsubtitled,unsubtitled,0,Googlebooks,0,17,rw,con,,somebodies,,,3,,i4,n,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,7,Bussy-Rabutin,Histoire galante de Monsieur le comte de Guiche et Madame,0,unsubtitled,unsubtitled,0,Googlebooks,0,10,rw,con,,somebodies,,,3,,i3,y,n,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,8,Du Perret,La Cour d'amour ou les bergers galans,0,unsubtitled,unsubtitled,0,Googlebooks,0,118,rw,his,classical,combo,,,3,,i1,y,y,5,187,4,168,1073,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,9,Scudry,Mathilde,0,unsubtitled,unsubtitled,0,Googlebooks,0,68,rw,his,modern,combo,,,3,,0,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1668,1,Anon.,Le Grand Hippomne,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,37,rw,his,gallia,combo,,,3,,i4,n,n,,,,,,0,,,,,,,,,1
1660s,1661-1680,1651-1700,1668,8,Esprit,Sapor roy de Perse,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,145,rw,his,classical,somebodies,,,3,,i1,y,y,4,383,5,999,2046,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,8,Guilleragues,Lettres portugaises,0,unsubtitled,unsubtitled,0,Googlebooks,0,10,rw,con,,nobodies,fact,pref,E,E1,n/a,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,9,La Fontaine,Les Amours de Psich et de Cupidon,0,unsubtitled,unsubtitled,0,Googlebooks,0,57,rw,con,,nobodies,ind,,3,,i3,n,n,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,11,Scudery,La Promenade de Versailles,0,unsubtitled,unsubtitled,0,Gallica,0,71,rw,con,,nobodies,fact,incipit,1,frame,i3,n,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,12,Villedieu,Clonice ou le roman galant,0,unsubtitled,unsubtitled,0,Googlebooks,0,19,rw,con,,nobodies,fact,incipit,1,obs,0,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,13,Villedieu,Le Journal amoureux,0,unsubtitled,unsubtitled,0,Googlebooks,0,108,rw,his,modern,combo,,,3,,i4,y,y,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1671,8,Des Champs,Mmoires du srail sous Amurat second,0,unsubtitled,unsubtitled,0,Googlebooks,0,80,rw,his,modern,somebodies,,,3,,i1,y,n,,,,,,livres,3,,,,,,,,1
1670s,1661-1680,1651-1700,1671,12,Monfaucon de Villars,L'amour sans faiblesse 1: Anne de Bretagne,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,21,rw,his,modern,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1671,13,,L'amour sans faiblesse 2: Amanzaris,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,37,rw,uns,,nobodies,ind,,3,,i1,y,y,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1671,17,Vaumorire,Histoire de la galanterie des anciens,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,26,rw,his,classical,somebodies,,,3,,i5,n,y,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1671,19,Villedieu?,Le Comte de Dunois,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,30,rw,his,modern,somebodies,,,3,,i6,n,n,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1671,20,Villedieu,Les avantures ou mmoires de la vie de Henriette Sylive de Molire,0,unsubtitled,unsubtitled,0,,0,80,rw,con,,nobodies,fact,pref,1,mem,i4,y,y,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1672,2,An,L'amant de bonne foi,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,38,rw,con,,nobodies,ind,,D,,i3,y,y,,,,,,nouvelles,3,,,,,,,,1
1670s,1661-1680,1651-1700,1672,4,An,"Bralde, prince de Savoye",0,unsubtitled,unsubtitled,0,Googlebooks,0,31,rw,his,vague,nobodies,fict,other (fake kings),3,,i1,y,n,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1672,9,Boyer,La Comtesse de Candale,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,32,rw,his,modern,somebodies,,,3,,i1,y,y,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1672,10,Bussires,La Mdaille curieuse,0,unsubtitled,unsubtitled,0,googlebooks,0,48,rw,con,,nobodies,fact,pref,3,,i1,n,n,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1672,23,Villedieu,Les Exils,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,109,rw,his,classical,somebodies,,,3,,i1,y,y,,,,,,parties,6,,,,,,,,1
1670s,1661-1680,1651-1700,1673,1,An,Le Grand miroir des rforms sous l'histoire tragique de Dorimene,0,unsubtitled,unsubtitled,0,BNF Arsenal,0,54,rw,con,,nobodies,fact,pref,3,,i4,y,y,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1673,3,Allard,"Zizimi, prince OttomanÉ",0,unsubtitled,unsubtitled,0,BNF Arsenal,0,66,rw,his,modern,somebodies,,,3,,i1,y,y,,,,,,,,,,,,,,,1
